"Date","Month","Year","Site.Name","COUNTY","meanLat","meanLong","PM2.5","Ozone"
2018-01-16,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,37,NA
2018-01-16,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,53,NA
2018-01-17,1,2018,"Bryson City","Swain",35.434767,-83.442133,37,NA
2018-01-17,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,24,NA
2018-01-17,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,55,NA
2018-01-17,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,54.5,NA
2018-01-17,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,15,NA
2018-01-17,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,40.5,28
2018-01-17,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,47.5,NA
2018-01-17,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,38,NA
2018-01-17,1,2018,"Linville Falls","Avery",35.972347,-81.933072,19,NA
2018-01-17,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,51,NA
2018-01-17,1,2018,"Millbrook School","Wake",35.856111,-78.574167,56,29
2018-01-17,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,48.5,NA
2018-01-17,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,66,NA
2018-01-18,1,2018,"Bryson City","Swain",35.434767,-83.442133,48,NA
2018-01-18,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,30,NA
2018-01-18,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,40,NA
2018-01-18,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,45,NA
2018-01-18,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,40,31
2018-01-18,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,35,NA
2018-01-18,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,31,NA
2018-01-18,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,34,NA
2018-01-18,1,2018,"Millbrook School","Wake",35.856111,-78.574167,54,35
2018-01-18,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,38,NA
2018-01-18,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,50,NA
2018-01-19,1,2018,"Bryson City","Swain",35.434767,-83.442133,52,NA
2018-01-19,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,54,NA
2018-01-19,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,57,NA
2018-01-19,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,49,22
2018-01-19,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,43,NA
2018-01-19,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,25,NA
2018-01-19,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,37,NA
2018-01-19,1,2018,"Millbrook School","Wake",35.856111,-78.574167,55,32
2018-01-19,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,34,NA
2018-01-19,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,42,NA
2018-01-20,1,2018,"Bryson City","Swain",35.434767,-83.442133,51,NA
2018-01-20,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,21,NA
2018-01-20,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,63,NA
2018-01-20,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,45,NA
2018-01-20,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,6,NA
2018-01-20,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,43,32
2018-01-20,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,36,NA
2018-01-20,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,28,NA
2018-01-20,1,2018,"Linville Falls","Avery",35.972347,-81.933072,8,NA
2018-01-20,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,38,NA
2018-01-20,1,2018,"Millbrook School","Wake",35.856111,-78.574167,50,35
